                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0709,                 1.8567,                0.90777,                0.89641,                 0.1752,                0.20852,                0.15242,                 1.1433,                 2.1686,                0.90251,              6.932e-05,              6.932e-05,              6.932e-05
                     36,                  1.055,                 1.8519,                0.89696,                0.90443,                0.17851,                 0.2119,                0.15283,                 1.1504,                 2.1862,                0.90375,              6.536e-05,              6.536e-05,              6.536e-05
                     37,                 1.0789,                 1.8605,                0.91259,                0.96009,                 0.1671,                0.20725,                0.15008,                 1.1418,                  2.141,                0.90515,               6.14e-05,               6.14e-05,               6.14e-05
                     38,                 1.0774,                 1.7759,                0.89787,                0.96226,                  0.168,                0.20888,                0.15017,                 1.1445,                   2.12,                0.90849,              5.744e-05,              5.744e-05,              5.744e-05
                     39,                 1.0516,                  1.839,                0.89988,                0.87562,                0.17331,                0.21138,                 0.1539,                 1.1399,                 2.1214,                0.90598,              5.348e-05,              5.348e-05,              5.348e-05
                     40,                 1.0601,                  1.854,                0.90605,                0.95076,                0.17545,                0.21137,                0.15307,                 1.1412,                 2.1236,                0.90275,              4.952e-05,              4.952e-05,              4.952e-05
                     41,                 1.0473,                 1.9285,                0.90554,                0.94588,                0.17818,                0.21095,                0.15316,                 1.1402,                 2.1243,                0.89996,              4.556e-05,              4.556e-05,              4.556e-05
                     42,                 1.0308,                 1.8886,                0.88931,                0.95207,                0.17525,                0.21285,                0.15203,                 1.1396,                 2.1164,                0.89966,               4.16e-05,               4.16e-05,               4.16e-05
                     43,                 1.0314,                 1.9312,                0.90464,                0.95592,                0.17762,                0.21312,                0.15364,                 1.1366,                  2.126,                0.90186,              3.764e-05,              3.764e-05,              3.764e-05
                     44,                 1.0384,                 1.8816,                0.89605,                0.96028,                0.17126,                0.21465,                0.15455,                 1.1381,                 2.0966,                0.90211,              3.368e-05,              3.368e-05,              3.368e-05
                     45,                 1.0157,                 1.8412,                0.89123,                0.94914,                0.17454,                0.21481,                0.15477,                  1.136,                 2.0745,                0.90386,              2.972e-05,              2.972e-05,              2.972e-05
                     46,                 1.0157,                 1.8433,                0.88515,                0.95737,                0.16615,                0.21393,                0.15549,                 1.1305,                 2.0679,                0.90446,              2.576e-05,              2.576e-05,              2.576e-05
                     47,                 1.0237,                 1.8546,                0.89778,                0.95693,                0.16878,                0.21295,                0.15492,                 1.1282,                 2.0772,                0.90286,               2.18e-05,               2.18e-05,               2.18e-05
                     48,                 1.0122,                  1.843,                 0.8982,                0.92551,                0.17435,                0.21551,                0.15551,                  1.121,                 2.0773,                0.90144,              1.784e-05,              1.784e-05,              1.784e-05
                     49,                 1.0105,                 1.8505,                0.88932,                0.95406,                0.16827,                0.21792,                0.15654,                 1.1225,                 2.0699,                0.90058,              1.388e-05,              1.388e-05,              1.388e-05
                     50,                  1.028,                 1.8352,                0.89369,                0.92704,                0.17764,                0.21819,                0.15645,                 1.1212,                 2.0512,                0.90012,               9.92e-06,               9.92e-06,               9.92e-06
